Travelodge, Hotel, 144 Lodge Rd, Southampton,100, no, no, yes
Premier Inn, Hotel, 6 New Rd, Southampton,250, no, yes, yes
Winchester Royal Hotel, Hotel, St Peter Street, Winchester, 70, yes, yes, yes
Holiday Inn, Hotel, Leigh Road, Eastleigh, 120, no, no, yes
Oxford Street Stays, Hotel, 45A Oxford Street, Southampton,15, yes, no, yes
Moodys Garden Boutique, BnB, 133 Swanwick Lane, Southampton,3, no, yes, yes
Hermes Apartment-The messenger of town, BnB, 61-64 High Street, Southampton, 5, yes, yes, yes
Casadele BnB, BnB, 61 Stanmore Lane, Winchester, 3, yes, yes, yes
Claremont Guest House, BnB, 33 Polygon, Southampton, 2, no, yes, yes
Stonehenge Hostel, Hostel, Beacon House Amesbury Road, Salisbury, 12, no, no, no
Starboard Stays, BnB, 13-14 Terminus Terrace, Southampton, 10, yes, no, yes
Moxy Southampton, Hotel, Harbour Parade, Southampton, 200, yes, no, yes
Leonardo Royal, Hotel, West Quay Road, Southampton, 150, yes, yes, yes
Best Western, Hotel, Chilworth Manor Hotel and Conference Centre, Southampton, 120, yes, no, yes
The Star Hotel, Hotel, 26 High Street, Southampton, 50, yes, yes, yes
DoubleTree by Hilton, Hotel, Bracken Place, Southampton, 100, yes, yes, yes
No.4 Carlton, Hotel, 4 Carlton Crescent, Southampton, 70, yes, no, yes
Ibis Southampton, Hotel, 9 West Quay Road, Southampton, 200, yes, no, yes
Macdonald Botley Park Hotel & Spa, Hotel, Winchester Road, Southampton, 80, yes, no, yes
Botleigh Grange Hotel, Hotel, Grange Road, Southampton, 70, yes, no, yes
